codigo,categoria,seccion,nombre,presentacion,precio_lista
CB001,COMBO,COMBO,COMBO PANCHO DOBLE (18 panes + 36 salchichas),,20700
CB002,COMBO,COMBO,COMBO PANCHO DOBLE x3,,21500
CB003,COMBO,COMBO,COMBO SUPER (18 panes + 18 salchichas),,9420
CB004,COMBO,COMBO,COMBO SUPER PARMESANO (18 panes + 18 salchichas),,17100
CB005,COMBO,COMBO,COMBO MEGA PANCHO PARMESANO 44 cm,,34800
CB006,COMBO,COMBO,COMBO SUPER BRIOCHE (18 panes + 18 salchichas),,16800
PN001,PAN,PANIFICADO,PAN SIMPLE CANALETA (6 un.),,1440
PN002,PAN,PANIFICADO,PAN DOBLE CANALETA (3 un.),,1800
PN003,PAN,PANIFICADO,PAN DOBLE CANALETA (15 un.),,8700
PN004,PAN,PANIFICADO,PAN SUPER PANCHO GRATINADO (6 un.),,4000
PN005,PAN,PANIFICADO,PAN MEGA PANCHO GRATINADO 44 cm (6 un.),,8000
PN006,PAN,PANIFICADO,PAN SUPER PANCHO BRIOCHE (6 un.),,3900
AD001,ADEREZO,ADEREZO,Mayonesa,500ml,1660
AD002,ADEREZO,ADEREZO,Mayonesa,3kg,5400
AD003,ADEREZO,ADEREZO,Mostaza,500ml,1550
AD004,ADEREZO,ADEREZO,Mostaza,3kg,4900
AD005,ADEREZO,ADEREZO,Ketchup,500ml,2240
AD006,ADEREZO,ADEREZO,Ketchup,3kg,8900
AD007,ADEREZO,ADEREZO,Salsa Golf,500ml,1770
AD008,ADEREZO,ADEREZO,Salsa Golf,3kg,5700
AD009,ADEREZO,ADEREZO,Mayonesa c/ Aceituna 500ml,,1770
AD010,ADEREZO,ADEREZO,Chimichurri 500ml,,1860
AD011,ADEREZO,ADEREZO,Queso Parmesano 500ml,,2550
AD012,ADEREZO,ADEREZO,Queso Cheddar 500ml,,2550
AD013,ADEREZO,ADEREZO,Ají Picante 500ml,,2570
AD014,ADEREZO,ADEREZO,Salsa Tártara 500ml,,1770
AD015,ADEREZO,ADEREZO,Barbacoa 500ml,,2460
AD016,ADEREZO,ADEREZO,Queso Roquefort 500ml,,2600
AD017,ADEREZO,ADEREZO,Fugazzetta 500ml,,2600
AD018,ADEREZO,ADEREZO,Salame 500ml,,2300
AD019,ADEREZO,ADEREZO,Mostaza Dulce 500ml,,1760
AC001,ADICIONAL,ADICIONAL,Papas Pay 900g Timay/Soleo,,6800
AC002,ADICIONAL,ADICIONAL,Papas Pay 900g Sol de junio,,7300
AC003,ADICIONAL,ADICIONAL,Salchicha Gastronómica Bark (paquete de 18 uni),,5100
AC004,ADICIONAL,ADICIONAL,Portapancho Simple (200u),,2500
AC005,ADICIONAL,ADICIONAL,Portapancho Doble (100u),,4550
AC006,ADICIONAL,ADICIONAL,Portapancho XXL 44 cm,,120
AC007,ADICIONAL,ADICIONAL,Portapancho con publicidad,,
HB001,PAN_HAMBURGUESA,HAMBURGUESA,Pan Hamburguesa Regular c/ Sésamo (4u).,,1200
HB002,PAN_HAMBURGUESA,HAMBURGUESA,Pan Hamburguesa PAPA (4u).,,2350
HB003,PAN_HAMBURGUESA,HAMBURGUESA,Pan Hamburguesa Parmesano (4u).,,2500
HB004,PAN_HAMBURGUESA,HAMBURGUESA,Pan Hamburguesa Brioche (4u).,,2350
HX001,PAN_HAMBURGUESA_MAXI,HAMBURGUESA_MAXI,Pan Hamburguesa maxi c/ Sésamo (4u).,,1350
HX002,PAN_HAMBURGUESA_MAXI,HAMBURGUESA_MAXI,Pan Hamburguesa PAPA (4u).,,3300
HX003,PAN_HAMBURGUESA_MAXI,HAMBURGUESA_MAXI,Pan Hamburguesa Parmesano (4u).,,3600
HX004,PAN_HAMBURGUESA_MAXI,HAMBURGUESA_MAXI,Pan Hamburguesa Brioche (4u).,,3300
PS001,PAN_SANDWICH,SANDWICH,Pan para Sandwich de Lomito 22cm / 2un,,2850
PS002,PAN_SANDWICH,SANDWICH,Pan para Pebete 4 un,,2400
SS001,SALSA_ESPECIAL,SALSA_ESPECIAL,Salsa Alioli,,7300
SS002,SALSA_ESPECIAL,SALSA_ESPECIAL,Salsa BIG,,7700
SS003,SALSA_ESPECIAL,SALSA_ESPECIAL,Salsa Cuarto de Kinga,,8100
SS004,SALSA_ESPECIAL,SALSA_ESPECIAL,Salsa Spicy,,7500
SS005,SALSA_ESPECIAL,SALSA_ESPECIAL,Salsa Stacker,,7300
SS006,SALSA_ESPECIAL,SALSA_ESPECIAL,Salsa Tasty,,8100
RG001,REGIONAL,REGIONAL,Aceite de OLIVA 1era Calidad 500ml,,6900
RG002,REGIONAL,REGIONAL,Aceituna verde 500g,,4800
RG003,REGIONAL,REGIONAL,Aceituna negra 500g,,3900
RG004,REGIONAL,REGIONAL,Nuez 500g,,12000
RG005,REGIONAL,REGIONAL,Nuez 1kg,,17500
